ID,Name,Lat,Lon,Population,Area,Distance travelled,Road length
74449,Richgrove (CA),35.79892,-119.106345,2867,0.740736599556,,
43534,Junction City (OR),44.216685,-123.207229,5966,5.46746490092,,
93376,Waynesburg (PA),39.897706,-80.170628,8665,9.07790832673,,
01468,Allendale (SC),33.008841,-81.311258,3307,5.94920268944,,
09244,Boscobel (WI),43.136647,-90.699795,3261,3.99376166614,,
14914,Centerville (IA),40.730632,-92.870897,5380,8.68423013396,,
88057,Tooele (UT),40.538675,-112.299368,31058,23.7968107578,,
96535,Winnsboro (TX),32.955144,-95.291729,3403,9.05718842184,,
36136,Gypsum (CO),39.640156,-106.941227,5963,9.06754837429,,
82549,Smithfield (VA),36.980049,-76.592973,10215,24.7965461684,,
19585,Concordia (KS),39.567916,-97.654895,5340,6.4646103234,,
69211,Picayune (MS),30.534134,-89.677118,16792,44.9337037262,,
51121,London (OH),39.89844,-83.452654,14260,14.8976116107,,
48934,Leitchfield (KY),37.490082,-86.259803,6802,13.755426854,,
39970,Hoopeston (IL),40.465767,-87.672107,5116,5.50890471068,,
60787,Murray (KY),36.608658,-88.325636,19072,30.069761961,,
64550,Oberlin (OH),41.292908,-82.216878,7966,7.19498697051,,
20719,Covington (TN),35.563046,-89.655404,8578,17.1638512072,,
64000,Norton (KS),39.83354,-99.891388,2893,3.51202387762,,
86869,Tehachapi--Golden Hills (CA),35.151463,-118.491792,16540,23.5740717803,,
81388,Shelley (ID),43.380092,-112.126373,4701,5.35350542406,,
65539,Ontario (OR--ID),44.023376,-116.988748,25539,33.2528573486,,
93970,West Columbia (TX),29.149082,-95.6387,4976,8.7696997416,,
63676,Northfield (MN),44.448766,-93.169159,21535,23.8848703535,,
02494,Angels (CA),38.074409,-120.551042,3751,6.90231831405,,
17514,Clearlake Riviera (CA),38.954606,-122.735748,2806,7.97457339172,,
25093,Du Quoin (IL),38.017557,-89.232631,6467,11.6445865441,,
18208,Clovis (NM),34.414716,-103.214782,41570,58.4586216384,,
75880,Rock Springs (WY),41.594658,-109.240478,26352,36.2080337825,,
74206,Rensselaer (IN),40.935218,-87.152169,6048,7.43326587666,,
97588,Yazoo City (MS),32.862333,-90.419048,15546,22.2195079986,,
90271,Veneta (OR),44.050539,-123.34004,5979,10.6966508957,,
02251,Anadarko (OK),35.07139,-98.241232,5929,6.28331115568,,
